Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Creative Support - Trafford Respite Service,10 Shawe Road,Flixton,Trafford,Greater Manchester,M41 5DL,1617483562.0,1-101648755,1-493907710,http://www.creativesupport.co.uk,Trafford,North West,2018-04-30T23:00:00Z,http://www.cqc.org.uk/location/1-493907710,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Creative Support Limited
Daisy House,1139 Hyde Road,,Manchester,,M18 7LN,1613204915.0,1-4885935083,1-5548473300,,Manchester,North West,2019-08-29T23:00:00Z,http://www.cqc.org.uk/location/1-5548473300,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Daisy-Fieldz Care Services Limited
Holmfield Care,2 & 4 Darley Avenue,West Didsbury,Manchester,Greater Manchester,M20 2XF,1614341480.0,1-101655214,1-125835567,,Manchester,North West,2018-03-07T00:00:00Z,http://www.cqc.org.uk/location/1-125835567,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Age Concern Manchester
Homeleigh,Middleton Road,Crumpsall,Manchester,Greater Manchester,M8 4JX,1617407313.0,1-116992858,1-2670543973,http://www.achievetogether.co.uk,Manchester,North West,2018-07-25T23:00:00Z,http://www.cqc.org.uk/location/1-2670543973,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs",Residential homes,The Regard Partnership Limited
Mount View House,Pot House Lane,Wardle,Rochdale,Lancashire,OL12 9PP,1706350916.0,1-118164217,1-3025072274,http://www.craegmoor.co.uk,Rochdale,North West,2018-01-23T00:00:00Z,http://www.cqc.org.uk/location/1-3025072274,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Parkcare Homes (No.2) Limited
The Bungalow,54-56,"Mossfield Road, Farnworth",Bolton,,BL4 0AB,1204794172.0,1-5382383980,1-5619567947,,Bolton,North West,2019-10-09T23:00:00Z,http://www.cqc.org.uk/location/1-5619567947,,Caring for adults over 65 yrs,Residential homes,SH Care Ltd
Buccleugh Lodge,Elizabeth Slinger Road,,Manchester,Lancashire,M20 2XA,1612173932.0,R0A,R0A49,http://www.mft.nhs.uk,Manchester,North West,,http://www.cqc.org.uk/location/R0A49,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Long-term conditions,Rehabilitation (illness/injury)",Manchester University NHS Foundation Trust
Woodlands Westhoughton Dementia Care Home and Services,4 Wigan Road,Westhoughton,Bolton,Lancashire,BL5 3RJ,1942819207.0,1-101618509,1-2096543237,http://www.woodlandscaregrp.com,Bolton,North West,2018-12-18T00:00:00Z,http://www.cqc.org.uk/location/1-2096543237,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Woodlands Care GRP Ltd
Maybank House,588 Altrincham Road,,Manchester,Lancashire,M23 9JH,1612558250.0,1-101678717,1-8933687520,,Manchester,North West,2019-09-24T23:00:00Z,http://www.cqc.org.uk/location/1-8933687520,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Manchester City Council - Adult Directorate
Ashton Lane,47 Ashton Lane,,Sale,Cheshire,M33 5PA,1619620978.0,1-101655108,1-113737519,http://www.stockdales.org.uk,Trafford,North West,2018-11-22T00:00:00Z,http://www.cqc.org.uk/location/1-113737519,,"Learning disabilities,Physical disabilities",Residential homes,"Stockdales Of Sale, Altrincham & District Ltd"
Elm Tree House,Meadow View,,Rochdale,,OL12 7PB,1706868176.0,1-101675727,1-5524248948,,Rochdale,North West,2020-01-23T00:00:00Z,http://www.cqc.org.uk/location/1-5524248948,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs",Residential homes,Lifeways Community Care Limited
Bowerfield Court,Broadwood Close,Disley,Stockport,Cheshire,SK12 2NJ,1663721464.0,1-1432486954,1-1494575188,,Stockport,North West,2019-02-19T00:00:00Z,http://www.cqc.org.uk/location/1-1494575188,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Maria Mallaband 17 Limited
Millview Short Stay Respite,Westbury Drive,Marple,Stockport,Greater Manchester,SK6 6FW,1614277697.0,1-101681841,1-131782656,,Stockport,North West,2020-01-16T00:00:00Z,http://www.cqc.org.uk/location/1-131782656,,Learning disabilities,Residential homes,Stockport Metropolitan Borough Council
Hall Field Guest House,50 Hall Street,Offerton,Stockport,Greater Manchester,SK1 4DA,1614800574.0,1-101612609,1-138717951,http://www.indpendentptions.org.uk,Stockport,North West,2018-01-04T00:00:00Z,http://www.cqc.org.uk/location/1-138717951,,Learning disabilities,Residential homes,Independent Options (North West)
Turning Point - Birchwood Nursing Home,Lees New Road,,Oldham,Lancashire,OL4 5PP,1616212750.0,1-102642564,1-124012558,http://www.turning-point.co.uk,Oldham,North West,2018-11-20T00:00:00Z,http://www.cqc.org.uk/location/1-124012558,,"Caring for adults under 65 yrs,Mental health conditions",Nursing homes,Turning Point
Gorton Parks Care Home,121 Taylor Street,,Manchester,Lancashire,M18 8DF,1612209243.0,1-4328010968,1-4413341048,,Manchester,North West,2019-12-05T00:00:00Z,http://www.cqc.org.uk/location/1-4413341048,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Advinia Care Homes Limited
Mill View Care Home,Bridgeman Street,,Bolton,Lancashire,BL3 6SA,1204391890.0,1-4328010968,1-4565545397,,Bolton,North West,2019-12-14T00:00:00Z,http://www.cqc.org.uk/location/1-4565545397,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Advinia Care Homes Limited
Shaw Side Care Home,77 Oldham Road,Shaw,Oldham,Greater Manchester,OL2 8SP,1706882290.0,1-4521210418,1-6355044561,,Oldham,North West,2020-03-07T00:00:00Z,http://www.cqc.org.uk/location/1-6355044561,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Wellington Healthcare (Arden) Ltd
Appleton Manor,Lingard Lane,"Bredbury, Stockport",Manchester,Lancashire,SK6 2QT,1614067261.0,1-305829465,1-319142558,http://www.hc-one.co.uk/homes/appleton-manor,Stockport,North West,2020-03-19T00:00:00Z,http://www.cqc.org.uk/location/1-319142558,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,HC-One Limited
Averill House,Averill Street,Newton Heath,Manchester,Lancashire,M40 1PF,1616886690.0,1-305829465,1-319159457,http://www.hc-one.co.uk/homes/averill-house,Manchester,North West,2018-12-21T00:00:00Z,http://www.cqc.org.uk/location/1-319159457,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,HC-One Limited
Worsley Lodge,119 Worsley Road,Worsley,Manchester,Greater Manchester,M28 2WG,1617940706.0,1-305829465,1-320777838,http://www.hc-one.co.uk/homes/worsley-lodge/,Salford,North West,2018-11-16T00:00:00Z,http://www.cqc.org.uk/location/1-320777838,,Caring for adults over 65 yrs,Residential homes,HC-One Limited
Barton Brook Care Home,201 Trafford Road,Eccles,Manchester,Lancashire,M30 0GP,1617878437.0,1-2953247678,1-3116295813,,Salford,North West,2019-01-05T00:00:00Z,http://www.cqc.org.uk/location/1-3116295813,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,HC-One Oval Limited
Ringway Mews Care Home,5 Stancliffe Road,,Manchester,Lancashire,M22 4RY,1614914887.0,1-2953247678,1-3134639162,,Manchester,North West,2019-10-17T23:00:00Z,http://www.cqc.org.uk/location/1-3134639162,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Nursing homes,HC-One Oval Limited
Mainwaring Terrace,"1, 2, 3, 5 Mainwaring Terrace",Northern Moor,Manchester,Greater Manchester,M23 0EW,1619459585.0,1-102642930,1-134620821,http://www.nas.org.uk,Manchester,North West,2019-11-15T00:00:00Z,http://www.cqc.org.uk/location/1-134620821,,Learning disabilities,Residential homes,National Autistic Society (The)
Heathcotes Wolsey House,9a Cromwell Road,Eccles,Manchester,,M30 0QT,1617079607.0,1-101695924,1-5112450248,http://www.heathcotes.net,Salford,North West,2020-01-14T00:00:00Z,http://www.cqc.org.uk/location/1-5112450248,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Physical disabilities",Residential homes,Heathcotes Care Limited
Heathcotes (Salford),9 Cromwell Road,Eccles,Manchester,Lancashire,M30 0QT,1617070768.0,1-101695924,1-4275691641,,Salford,North West,2019-06-19T23:00:00Z,http://www.cqc.org.uk/location/1-4275691641,,Learning disabilities,Residential homes,Heathcotes Care Limited
Sunrise of Hale Barns,295 Hale Road,Hale Barns,Altrincham,Cheshire,WA15 8SN,1619809500.0,1-116995093,1-3873974542,http://www.sunrise.care.co.uk,Trafford,North West,2018-10-17T23:00:00Z,http://www.cqc.org.uk/location/1-3873974542,,"Dementia,Caring for adults over 65 yrs",Residential homes,Sunrise UK Operations Limited
Sunrise of Bramhall,1 Dairyground Road,Bramhall,Stockport,Cheshire,SK7 2HW,1614402200.0,1-2284892196,1-2951204868,,Stockport,North West,2018-06-05T23:00:00Z,http://www.cqc.org.uk/location/1-2951204868,,"Dementia,Caring for adults over 65 yrs",Nursing homes,Sunrise Senior Living Limited
Sunrise of Hale Barns,295 Hale Road,Hale Barns,Altrincham,Cheshire,WA15 8SN,1619809500.0,1-2284892196,1-2634476775,http://www.sunrise-care.co.uk,Trafford,North West,2018-10-17T23:00:00Z,http://www.cqc.org.uk/location/1-2634476775,,"Dementia,Caring for adults over 65 yrs",Residential homes,Sunrise Senior Living Limited
Israel Sieff Court,7a Bennett Road,Crumpsall,Manchester,Greater Manchester,M8 5DU,1617408597.0,1-102642895,1-126240649,http://www.anchor.org.uk,Manchester,North West,2019-01-31T00:00:00Z,http://www.cqc.org.uk/location/1-126240649,,"Dementia,Caring for adults over 65 yrs",Residential homes,Anchor Hanover Group
Church Road,144 Church Road,,Bolton,,BL1 6HJ,7444371559.0,1-6619378377,1-6877841642,,Bolton,North West,2020-10-06T23:00:00Z,http://www.cqc.org.uk/location/1-6877841642,,"Learning disabilities,Mental health conditions",Residential homes,Cade Care Limited
Prema Court,Clifton Court,Ayres Road,Manchester,Lancashire,M16 7NX,1612267698.0,1-101656493,1-121233178,http://www.deepdenecare.org,Trafford,North West,2019-06-12T23:00:00Z,http://www.cqc.org.uk/location/1-121233178,,Mental health conditions,Nursing homes,Deepdene Care Limited
"Woodlands Atherton, Dementia Care Home and Services",22 Woodlands Drive,Atherton,Manchester,Greater Manchester,M46 9HH,1942875054.0,1-101618509,1-117329274,http://www.woodlandscaregrp.com,Bolton,North West,2018-08-15T23:00:00Z,http://www.cqc.org.uk/location/1-117329274,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Residential homes,Homecare agencies",Woodlands Care GRP Ltd
